Discipline ,Name ,Key author,Type 
History ,Techno-Economic Paradigm ,Carlota Perez ,Structure- centered 
History ,Technological Stasis,Richard Hirsh ,Structure- centered 
Information science and management studies ,Initial Trust Model ,D.H. McKnight,Agency- centered 
Information science and management studies ,Motivational Model,FD Davis,Agency- centered 
Information science and management studies ,Social Cognitive Theory ,Deborah Compeau, Alberto Bandura 
Information science and management studies ,Task Technology Fit Model ,Dale L. Goodhue,Agency- centered 
Information science and management studies ,Technology Acceptance Model (TAM) ,FD Davis,Agency- centered 
Information science and management studies ,Theory of Human Behavior ,Ronald L. Thompson,Agency- centered 
Information science and management studies ,Unified Theory of Acceptance and Use of Technology (UTAUT) ,Viswanath Venkatesh ,Agency- centered 
Innovation studies ,Design Driven Innovation ,Roberto Verganti ,Relational 
Innovation studies ,Diffusion of Innovations Theory ,EverettRogers M. ,Agency- centered 
Innovation studies ,Initiative-Based Learning ,C. Argyris,Agency- centered 
Innovation studies ,Multilevel Perspective (MLP) on Innovation ,Frank Geels,Relational 
Innovation studies ,National Innovation Systems (NIS) ,Chris Freeman,Structure- centered 
Innovation studies ,Percolation Model of Innovation ,G. Silverberg,Structure- centered 
Innovation studies ,Regime Evolution Framework ,Marc Dijk,Structure centered 
Innovation studies ,Regional Innovation Systems (RIS) ,Philip Cooke,Structure- centered 
Innovation studies ,Technological Innovation Systems (TIS) ,B. Carlsson,Structure- centered 
Innovation studies ,Triple Embeddedness Framework and the Dialectical Issue Life Cycle Model ,Frank Geels,Structure- centered 
Legal studies and jurisprudence ,Social Justice Theory ,John Rawls,Normative 
Linguistics and semiotics ,Discourse Theory ,Michel Foucault,Meaning- centered 
Marketing ,Theory of Buyer Behavior ,John A. Howard,Agency- centered 
Mathematics ,Systems Theory ,Ludwig von Bertalanffy ,Structure- centered 
Organization studies ,Complexity Theory ,David Byrne,Relational 
Organization studies ,Sociomateriality ,K. Ashcraft,Structure- centered 
Organization studies ,Theory of Institutional Entrepreneurship ,Paul DiMaggio Raghu Garud,Agency- centered 
Political ecology and geography ,Dispossession by Accumulation ,David Harvey,Normative 
Political ecology and geography ,Enclosure and Exclusion ,James McCarthy,Normative 
Political ecology and geography ,Global Production Networks ,Gavin Bridge,Structure- centered 
Political scienceand public policy ,Advocacy Coalition Framework ,P.A. Sabatier ,Agency- structured 
Political scienceand public policy ,Discursive Coalition ,Maarten Hajer ,Meaning- centered 
Political scienceand public policy ,Regime Complex ,Robert O. Keohane,Structure- centered 
Political scienceand public policy ,Variants/Varieties of Capitalism ,Peter A. Hall,Structure- centered 
Science and technology studies ,Actor Network Theory ,Bruno Latour,Relational 
Science and technology studies ,Coproduction ,Sheila Jasanoff ,Relational 
Science and technology studies ,Cultural Ambiance ,Mikael Hard,Meaning- centered 
Science and technology studies ,Large Technical Systems ,Thomas Hughes,Structure- centered 
Science and technology studies ,'Projection Trimestrielle de 1''Evolution Economique (PROTREE) Model ',Michel Duret,Structure- centered 
Science and technology studies ,Semiotic Method of Reading Technology,Madline Akrich and Bruno Latour,Meaning- centered
Science and technology studies ,Social Construction of Technology (SCOT) ,TrevorWiebePinch,Relational 
Science and technology studies ,Sociology of Expectations ,Harro van Lente,Meaning- centered 
Science and technology studies ,Sociotechnical Imaginaries ,Sheila Jasanoff,Meaning- centered 
Science and technology studies ,Technological Determinism ,Langdon Winner,Structure- centered 
Science and technology studies ,Technological Drama ,Bryan Pfaffenberger ,Meaning- centered 
Science and technology studies ,Technological Sublime ,David Nye ,Meaning- centered 
Sociology ,Action Theory ,Max Weber ,Agency- centered 
Sociology ,Automobility ,John Urry,Structure- centered 
Sociology ,Social Action Theory ,Talcott Parsons ,Agency- centered 
Sociology ,Social Practice Theory ,Andreas Reckwitz, Matthew Watson 
Sociology ,Social Capital Theory ,Pierre Bourdieu James S. Coleman,Agency- centered 
Sociology ,Structuration Theory,Anthony Giddens ,Relational 
Transport studies ,Perspectives of Interpersonal Influence ,Jonn Axsen,Agency- centered 
Transport studies ,Reflexive Layers of Influence ,Jonn Axsen,Agency- centered 
